date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,1.7301
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,45.0,1.5571
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,28.0,0.9689
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,30.0,1.0381
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,0.692
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,21.12,0.731
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,21.5,0.7439
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,23.75,0.8218
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.7,0.8893
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,24.9,0.8616
2014-07-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,14.6,0.5052
2014-07-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.45,0.5692
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,1.7301
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,42.0,1.4533
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,28.0,0.9689
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.9,1.0346
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,23.3,0.8062
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.5,0.7093
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,23.9,0.827
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,20.0,0.692
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,23.3,0.8062
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,22.7,0.7855
2014-10-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,14.0,0.4844
2014-10-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.6,0.5744
2014-11-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,1.7301
2014-11-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,40.0,1.3841
2014-11-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,28.0,0.9689
2014-11-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,30.0,1.0381
2014-11-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,23.3,0.8062
2014-11-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,0.692
2014-11-15,Assaba,Barkeol,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,24.7,0.8547
2014-11-15,Assaba,Kankossa,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,1.0381
